java_path,rust_path,kind,java_type,rust_type,scenario_count,implementation_status,test_status,wire_fixture
codegen/processor/src/test/java/org/fuin/ddd4j/codegen/processor/TestUtils.java,crates/codegen/processor/tests/java_parity/test_utils.rs,test,TestUtils,TestUtils,0,implemented,tested,
codegen/processor/src/test/resources/expected/CompanyId/AllConverters.java,crates/codegen/processor/tests/golden/company_id/all_converters.rs,golden,CompanyId|CompanyIdStr|Validator|Converter,CompanyId,0,implemented,tested,codegen/processor/src/test/resources/expected/CompanyId/AllConverters.java
codegen/processor/src/test/resources/expected/CompanyId/JaxbOnly.java,crates/codegen/processor/tests/golden/company_id/jaxb_only.rs,golden,CompanyId|CompanyIdStr|Validator|Converter,CompanyId,0,implemented,tested,codegen/processor/src/test/resources/expected/CompanyId/JaxbOnly.java
codegen/processor/src/test/resources/expected/CompanyId/JpaOnly.java,crates/codegen/processor/tests/golden/company_id/jpa_only.rs,golden,CompanyId|CompanyIdStr|Validator|Converter,CompanyId,0,implemented,tested,codegen/processor/src/test/resources/expected/CompanyId/JpaOnly.java
codegen/processor/src/test/resources/expected/CompanyId/JsonbOnly.java,crates/codegen/processor/tests/golden/company_id/jsonb_only.rs,golden,CompanyId|CompanyIdStr|Validator|Converter,CompanyId,0,implemented,tested,codegen/processor/src/test/resources/expected/CompanyId/JsonbOnly.java
codegen/processor/src/test/resources/expected/CompanyId/NoConverters.java,crates/codegen/processor/tests/golden/company_id/no_converters.rs,golden,CompanyId|CompanyIdStr|Validator,CompanyId,0,implemented,tested,codegen/processor/src/test/resources/expected/CompanyId/NoConverters.java
codegen/processor/src/test/resources/expected/CompanyId/OpenApiOnly.java,crates/codegen/processor/tests/golden/company_id/open_api_only.rs,golden,CompanyId|CompanyIdStr|Validator,CompanyId,0,implemented,tested,codegen/processor/src/test/resources/expected/CompanyId/OpenApiOnly.java
codegen/processor/src/test/resources/expected/CompanyKey/AllConverters.java,crates/codegen/processor/tests/golden/company_key/all_converters.rs,golden,CompanyKey|CompanyKeyStr|Validator|Converter,CompanyKey,0,implemented,tested,codegen/processor/src/test/resources/expected/CompanyKey/AllConverters.java
codegen/processor/src/test/resources/expected/MyEvent/Jackson.java,crates/codegen/processor/tests/golden/my_event/jackson.rs,golden,MyEvent|Builder,MyEvent,0,implemented,tested,codegen/processor/src/test/resources/expected/MyEvent/Jackson.java
codegen/processor/src/test/resources/expected/MyEvent/Jaxb.java,crates/codegen/processor/tests/golden/my_event/jaxb.rs,golden,MyEvent|Builder,MyEvent,0,implemented,tested,codegen/processor/src/test/resources/expected/MyEvent/Jaxb.java
codegen/processor/src/test/resources/expected/MyEvent/Jsonb.java,crates/codegen/processor/tests/golden/my_event/jsonb.rs,golden,MyEvent|Builder,MyEvent,0,implemented,tested,codegen/processor/src/test/resources/expected/MyEvent/Jsonb.java
codegen/processor/src/test/resources/expected/RampId/AllConverters.java,crates/codegen/processor/tests/golden/ramp_id/all_converters.rs,golden,RampId|RampIdStr|Validator|Converter,RampId,0,implemented,tested,codegen/processor/src/test/resources/expected/RampId/AllConverters.java
codegen/processor/src/test/resources/expected/RampId/JaxbOnly.java,crates/codegen/processor/tests/golden/ramp_id/jaxb_only.rs,golden,RampId|RampIdStr|Validator|Converter,RampId,0,implemented,tested,codegen/processor/src/test/resources/expected/RampId/JaxbOnly.java
codegen/processor/src/test/resources/expected/RampId/JpaOnly.java,crates/codegen/processor/tests/golden/ramp_id/jpa_only.rs,golden,RampId|RampIdStr|Validator|Converter,RampId,0,implemented,tested,codegen/processor/src/test/resources/expected/RampId/JpaOnly.java
codegen/processor/src/test/resources/expected/RampId/JsonbOnly.java,crates/codegen/processor/tests/golden/ramp_id/jsonb_only.rs,golden,RampId|RampIdStr|Validator|Converter,RampId,0,implemented,tested,codegen/processor/src/test/resources/expected/RampId/JsonbOnly.java
codegen/processor/src/test/resources/expected/RampId/NoConverters.java,crates/codegen/processor/tests/golden/ramp_id/no_converters.rs,golden,RampId|RampIdStr|Validator,RampId,0,implemented,tested,codegen/processor/src/test/resources/expected/RampId/NoConverters.java
codegen/processor/src/test/resources/expected/RampId/OpenApiOnly.java,crates/codegen/processor/tests/golden/ramp_id/open_api_only.rs,golden,RampId|RampIdStr|Validator,RampId,0,implemented,tested,codegen/processor/src/test/resources/expected/RampId/OpenApiOnly.java
core/src/main/java/org/fuin/ddd4j/core/AbstractAggregateException.java,crates/core/src/abstract_aggregate_exception.rs,production,AbstractAggregateException,AbstractAggregateException,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/AbstractAggregateRoot.java,crates/core/src/abstract_aggregate_root.rs,production,AbstractAggregateRoot,ApplyEventHandler|AbstractAggregateRoot,0,implemented,not_applicable,
core/src/main/java/org/fuin/ddd4j/core/AbstractEntity.java,crates/core/src/abstract_entity.rs,production,AbstractEntity,AbstractEntity,0,implemented,not_applicable,
